site,till,amend,landscape_position,fieldrep,mass_g,nano_260_280,nano_260_230,qubit_ng_ul,qubit_ng_mL
CREC,CT,A,NA,1,0.2488,1.76,1.38,40.8,204
CREC,CT,A,NA,2,0.2484,1.83,1.48,41,205
CREC,CT,A,NA,3,0.2491,1.81,0.65,67.8,339
CREC,CT,U,NA,1,0.252,1.77,1.33,31.4,157
CREC,CT,U,NA,2,0.2482,1.79,1.93,34.2,171
CREC,CT,U,NA,3,0.2505,1.75,1.23,41.4,207
CREC,MT,U,NA,1,0.2487,1.7,1.01,47.4,237
CREC,MT,U,NA,2,0.2477,1.76,1.19,51.4,257
CREC,MT,U,NA,3,0.25,1.84,1.43,30.4,152
CREC,NT,A,NA,1,0.248,1.77,1.33,72,360
CREC,NT,A,NA,2,0.2522,1.76,1.34,53.8,269
CREC,NT,A,NA,3,0.2472,1.75,0.95,53.6,268
CREC,NT,U,NA,1,0.2474,1.73,0.99,51.4,257
CREC,NT,U,NA,2,0.2504,1.84,1.51,27.6,138
CREC,NT,U,NA,3,0.2493,1.81,1.44,33.8,169
CREC,UN,U,NA,1,0.2491,1.89,1.93,74.4,372
CREC,UN,U,NA,2,0.2485,1.79,1.33,51.2,256
CREC,UN,U,NA,3,0.2482,1.84,1.69,71.6,358
GR,NT,U,C,1,0.2492,1.79,1.49,38,190
GR,NT,U,C,2,0.253,1.72,1.22,23.4,117
GR,NT,U,C,3,0.2484,1.65,0.97,31.4,157
GR,NT,U,F,1,0.2472,1.74,1.11,61.8,309
GR,NT,U,F,2,0.2495,1.57,0.78,18.4,92.1
GR,NT,U,F,3,0.2487,1.76,1.33,62,310
GR,NT,U,S,1,0.2512,1.76,1.38,50.2,251
GR,NT,U,S,2,0.2485,1.78,1.44,52,260
GR,NT,U,S,3,0.2522,1.63,0.83,38.8,194
SM,CT,A,NA,1,0.2501,1.76,1.06,16.6,83
SM,CT,A,NA,2,0.2509,1.91,1.2,11.3,56.6
SM,CT,A,NA,3,0.2514,1.72,0.89,11.2,55.9
SM,CT,U,NA,1,0.2523,2.09,1.07,11.6,57.9
SM,CT,U,NA,2,0.2509,1.8,1.41,16.7,83.4
SM,CT,U,NA,3,0.2519,1.49,0.57,2.8,14
SM,NT,A,NA,1,0.2501,1.68,0.91,17.2,85.9
SM,NT,A,NA,2,0.2481,1.89,1.45,21.4,107
SM,NT,A,NA,3,0.2509,1.73,1.16,13.6,67.9
SM,NT,U,NA,1,0.2493,1.78,1.07,7.1,35.5
SM,NT,U,NA,2,0.2474,1.92,1.23,13.7,68.7
SM,NT,U,NA,3,0.2485,1.95,1.37,17.2,85.9
SM,UN,U,NA,1,0.2498,1.9,1.94,27,135
SM,UN,U,NA,2,0.2491,1.89,1.44,15.9,79.4
SM,UN,U,NA,3,0.2495,1.77,1.35,31.4,157
WO,CT,U,NA,1,0.2505,1.83,1.3,22.4,112
WO,CT,U,NA,2,0.2495,1.77,1.13,28,140
WO,CT,U,NA,3,0.2505,1.87,1.74,22.6,113
WO,NT,U,NA,1,0.249,1.84,1.43,38,190
WO,NT,U,NA,2,0.2513,1.79,1.4,24.6,123
WO,NT,U,NA,3,0.2494,1.83,1.32,21.2,106
WO,UN,U,NA,1,0.2501,1.86,1.81,55.6,278
WO,UN,U,NA,2,0.2483,1.87,1.96,99,495
WO,UN,U,NA,3,0.2485,1.86,1.86,62.8,314
